doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
24hstore-warranty,data/warranty-policy/24hstore-warranty.md,Chính sách bảo hành 24hStore,https://24hstore.vn/,2026-09-20,not-stated,public-source
an-phat-pc-warranty,data/warranty-policy/an-phat-pc-warranty.md,Chính sách bảo hành An Phát PC,https://www.anphatpc.com.vn/,2026-09-20,not-stated,public-source
chinh-sach-bao-hanh,data/warranty-policy/chinh-sach-bao-hanh.md,Chính sách bảo hành và đổi trả sản phẩm | CellphoneS,https://cellphones.com.vn/chinh-sach-bao-hanh,2026-09-20,not-stated,public-source
di-dong-viet-warranty,data/warranty-policy/di-dong-viet-warranty.md,Chính sách bảo hành Di Động Việt,https://didongviet.vn/chinh-sach-bao-hanh-dien-thoai.html,2026-09-20,not-stated,public-source
dien-may-cho-lon-warranty,data/warranty-policy/dien-may-cho-lon-warranty.md,Chính sách bảo hành Điện Máy Chợ Lớn,https://dienmaycholon.com/chinh-sach-bao-hanh,2026-09-20,not-stated,public-source
mediamart-h-th-ng-si-u-th-i-n-m-y-h-ng-u-vi-t-nam,data/warranty-policy/mediamart-h-th-ng-si-u-th-i-n-m-y-h-ng-u-vi-t-nam.md,MediaMart - Hệ thống Siêu thị Điện máy hàng đầu Việt Nam,https://baohanh.mediamart.vn,2026-09-20,not-stated,public-source
memoryzone-warranty,data/warranty-policy/memoryzone-warranty.md,Chính sách bảo hành MemoryZone,https://memoryzone.com.vn/pages/chinh-sach-bao-hanh,2026-09-20,not-stated,public-source
shopee-buyer-warranty,data/warranty-policy/shopee-buyer-warranty.md,Quyền và điều kiện bảo hành dành cho Người Mua trên Shopee,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
shopee-seller-warranty,data/warranty-policy/shopee-seller-warranty.md,Trách nhiệm bảo hành của Người Bán trên Shopee,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
xtmobile-warranty,data/warranty-policy/xtmobile-warranty.md,Chính sách bảo hành XTmobile,https://www.xtmobile.vn/chinh-sach-bao-hanh,2026-09-20,not-stated,public-source
